timestamp,corriente,tension,potencia
2024-04-30 15:38:44,4.66,220.94,1032.82
2024-04-30 15:38:45,4.65,220.94,1031.33
2024-04-30 15:38:46,4.65,220.94,1030.33
2024-04-30 15:38:47,4.65,220.94,1030.83
2024-04-30 15:38:48,4.65,220.94,1031.33
2024-04-30 15:38:49,4.65,220.94,1029.83
2024-04-30 15:38:50,4.65,220.94,1029.34
2024-04-30 15:38:51,4.65,220.94,1029.83
2024-04-30 15:38:52,4.65,220.94,1031.33
2024-04-30 15:38:53,4.65,220.94,1030.33
2024-04-30 15:38:54,4.65,220.94,1030.83
2024-04-30 15:38:55,4.65,220.94,1029.34
2024-04-30 15:38:56,4.65,220.94,1029.83
2024-04-30 15:38:57,4.65,220.94,1030.33
2024-04-30 15:38:58,4.65,220.94,1030.83
2024-04-30 15:38:59,4.65,220.94,1031.33
2024-04-30 15:39:00,4.65,220.94,1031.33
2024-04-30 15:39:01,4.65,220.94,1030.33
2024-04-30 15:39:02,4.65,220.94,1031.33
2024-04-30 15:39:03,4.65,220.94,1031.83
2024-04-30 15:39:04,4.65,220.94,1030.33
2024-04-30 15:39:05,4.66,220.94,1031.83
2024-04-30 15:39:06,4.65,220.94,1031.33
2024-04-30 15:39:07,4.65,220.94,1031.83
2024-04-30 15:39:08,4.66,220.94,1032.82
2024-04-30 15:39:09,4.66,220.94,1032.82
2024-04-30 15:39:10,4.65,220.94,1029.83
2024-04-30 15:39:11,4.66,220.94,1032.82
2024-04-30 15:39:12,4.66,220.94,1032.33
2024-04-30 15:39:13,4.66,220.94,1032.82
2024-04-30 15:39:14,4.66,220.94,1033.32
2024-04-30 15:39:15,4.66,220.94,1032.82
2024-04-30 15:39:16,4.65,220.94,1031.33
2024-04-30 15:39:17,4.65,220.94,1030.83
2024-04-30 15:39:18,4.65,220.94,1030.33
2024-04-30 15:39:19,4.65,220.94,1029.83
2024-04-30 15:39:20,4.65,220.94,1031.33
2024-04-30 15:39:21,4.65,220.94,1031.83
2024-04-30 15:39:22,4.65,220.94,1031.33
2024-04-30 15:39:23,4.65,220.94,1030.83
2024-04-30 15:39:24,4.65,220.94,1029.83
2024-04-30 15:39:25,4.65,220.94,1029.83
2024-04-30 15:39:26,4.65,220.94,1030.33
2024-04-30 15:39:27,4.65,220.94,1028.84
2024-04-30 15:39:28,4.65,220.94,1028.84
2024-04-30 15:39:29,4.65,220.94,1029.83
2024-04-30 15:39:30,4.65,220.94,1028.84
2024-04-30 15:39:31,4.66,220.94,1031.83
2024-04-30 15:39:32,4.65,220.94,1030.83
2024-04-30 15:39:33,4.65,220.94,1030.33
2024-04-30 15:39:34,4.65,220.94,1030.83
2024-04-30 15:39:35,4.65,220.94,1030.33
2024-04-30 15:39:36,4.66,220.94,1031.83
2024-04-30 15:39:37,4.65,220.94,1031.83
2024-04-30 15:39:38,4.65,220.94,1030.83
2024-04-30 15:39:39,4.65,220.94,1028.84
2024-04-30 15:39:40,4.65,220.94,1030.33
2024-04-30 15:39:41,4.65,220.94,1030.33
2024-04-30 15:39:42,4.65,220.94,1031.33
2024-04-30 15:39:43,4.65,220.94,1031.33
2024-04-30 15:39:44,4.65,220.94,1029.83
2024-04-30 15:39:45,4.65,220.94,1030.33
2024-04-30 15:39:46,4.65,220.94,1030.33
